stem,C4_e1_med,C4_e1_n,C4_e2_med,C4_e2_n,C4_e5_med,C4_e5_n,C4_e10_med,C4_e10_n,C5_e1_med,C5_e1_n,C5_e2_med,C5_e2_n,C5_e5_med,C5_e5_n,C5_e10_med,C5_e10_n,C4_e20_med,C4_e20_n,C5_e20_med,C5_e20_n
ank_33_36,0.7880215028040807,107,0.6982592446106336,127,0.6480920491354114,183,0.5699514175453256,183,0.5872789242703941,169,0.5501274940176633,192,0.5027914392008903,242,0.46806155081921913,231,0.4964666821791499,169,0.4780729730913894,243
ank_34_11,1.4458867156321271,100,1.5764051693692132,113,1.311489997456391,113,1.1534642710406842,101,0.9220419878628264,162,0.6999587804857432,161,0.6416478291858763,166,0.6069430683334729,180,0.976267409954508,101,0.5555435578656005,177
ank_34_15,2.3637835219238252,55,2.1445608378588887,69,1.4902917536789353,80,1.3725119501908645,77,1.6197020468436643,88,1.1567571538854957,98,0.8214589710538744,107,0.7385658179054051,107,2.3184663565528005,96,0.7551108714726373,104
ank_34_21,1.3780237790004402,51,0.9663824494452732,57,1.0130732497234898,67,1.3452573832472245,61,1.0085959467336791,64,0.6768994799669674,69,0.6338558066787507,96,0.6989587051419276,91,0.8990068048613674,68,0.6521734095355841,98
ank_34_30,0.8573198435276899,151,0.7087474701779894,163,0.6738251382110794,204,0.563791439619094,157,0.6454359317691549,190,0.636109092135335,235,0.5379175044749954,297,0.45318548055908126,283,0.6890021467365091,180,0.4670994488924977,338
ank_35_11,1.1454788829174225,114,1.0018636690750955,114,1.079427526506713,141,0.7932414936291785,147,0.8081969268348848,165,0.7987164347653539,190,0.6649199789104343,154,0.6273223945549617,178,0.7912967263612201,121,0.6283488495713034,193
ank_35_28,0.8887661707584172,183,0.7902927976407974,194,0.6312018324363037,198,0.6742485467783541,229,0.6651949211208142,250,0.5974010443436888,283,0.5379740696579842,360,0.5280472444789694,399,0.7189080244243683,259,0.5040855542699036,390
ank_35_39,1.970133247451492,74,1.6378445191325068,68,1.7757155317655449,72,2.5209611246807357,57,1.2676705128355452,89,0.92520463148805,74,1.3774310284740574,77,1.291073799562071,89,2.255562277997639,71,1.463073742107515,93
ank_35_7,1.7701779706344594,96,1.5904425850205914,88,1.3066566366611219,72,1.4224096773112538,88,0.9598272226208592,101,0.9622845551123467,90,0.8528832262438757,114,0.914057637259907,123,1.5280296271180704,78,0.9626610186765256,132
ank_36_40,2.8816770378194585,42,2.703339862336937,53,3.4083165255233268,37,3.3795054406033183,42,2.779819506982979,50,1.9742216421774208,53,3.072400588816299,45,2.3708847284872983,57,3.372861881837541,40,2.548660424551382,53
ank_38_19,3.1806037396255147,41,2.758727638414838,38,3.0014175113704455,41,3.0594632071045487,30,1.7989891546661105,31,3.47227052391874,44,3.578438302557226,45,3.4233249077184826,31,2.739942881945937,30,2.7156931859657676,37
ank_38_22,0.8514462164957749,111,0.7629225116847377,130,0.6617262408156921,121,0.6092072816464154,137,0.650570358271009,153,0.5714017104120929,173,0.5351170281574467,195,0.5450409755525555,194,0.6610184648365367,149,0.5157292674035262,215
