sitevar,arm,stem,stratum,n_mean32,med_mean32,n_single,med_single,delta
eu,C1,30UYC_0245_00,3,39,2.1022459879078497,41,2.9156862688347287,-0.813440280926879
eu,C1,30UYC_0687_00,1,38,2.572852110800398,53,2.9712463704090917,-0.3983942596086938
eu,C1,30UYC_0725_00,3,56,1.728381803444806,59,2.3153646387113387,-0.5869828352665327
eu,C1,30UYD_0119_00,2,39,4.325003933619853,37,3.5816839528353697,0.7433199807844835
eu,C1,30UYD_1432_00,3,39,2.7474409891824303,33,2.8996630171802966,-0.15222202799786633
eu,C1,31TCJ_0091_00,2,28,3.7609698653450154,39,4.932053830431813,-1.1710839650867975
eu,C1,31TCJ_0672_00,3,40,2.5682308853582594,47,2.032335738935977,0.5358951464222823
eu,C1,31TCJ_1037_00,5,84,1.436731853127541,82,1.3773605643146727,0.05937128881286835
eu,C1,31TCJ_1340_00,4,45,1.731750252000332,54,1.8776235926851501,-0.14587334068481805
eu,C1,31TCJ_1353_00,4,73,1.9082399234290273,60,1.5726537471342357,0.3355861762947916
eu,C1,31TCJ_1375_00,3,63,3.840945841248137,58,3.9689295356440537,-0.12798369439591673
