sitevar,arm,stem,stratum,n_mean,med_mean,n_single,med_single,improve
eu,C1,30UYD_1432_00,3,39,2.9430457335070637,33,2.8996630171802966,-0.043382716326767046
eu,C1,31TCJ_0091_00,2,37,3.835353647341747,39,4.932053830431813,1.096700183090066
eu,C1,31TCJ_0672_00,3,44,2.4707602016839267,47,2.032335738935977,-0.43842446274794966
eu,C1,31TCJ_1037_00,5,81,1.4179098394401601,82,1.3773605643146727,-0.04054927512548745
eu,C1,31TCJ_1340_00,4,65,2.0609736461061745,54,1.8776235926851501,-0.1833500534210244
eu,C1,31TCJ_1353_00,4,59,1.6526213113887003,60,1.5726537471342357,-0.07996756425446461
eu,C1,31TCJ_1375_00,3,63,4.215375735912162,58,3.9689295356440537,-0.24644620026810848
eu,C1,31TCM_0023_00,4,67,2.4910934183881985,56,1.8666413386867824,-0.6244520797014161
eu,C1,31TCM_0853_00,5,104,1.4769640570904647,98,1.2970344631543886,-0.1799295939360761
eu,C1,31TCM_1060_00,3,63,1.4789009536243864,74,2.421310240712276,0.9424092870878895
eu,C1,31TCM_1094_00,5,70,1.2094481309978433,53,1.0941032589397586,-0.11534487205808475
eu,C1,31TCM_1192_00,4,91,1.666520443886858,100,2.086759112752903,0.4202386688660449
eu,C1,31TCM_1717_00,4,50,2.8765960768184486,55,2.3193725057756116,-0.557223571042837
eu,C1,31TCM_1743_00,5,107,1.4066013340843497,99,1.0673588125693843,-0.3392425215149655
eu,C1,31TCM_2040_00,3,36,2.3867788124349145,42,2.974706128353217,0.5879273159183023
eu,C1,31TCN_1555_00,3,38,2.364044851472744,38,2.2200415056074148,-0.14400334586532937
eu,C1,31TCN_1803_00,2,40,3.799111009535882,26,2.126834469895498,-1.672276539640384
eu,C1,31TFH_0022_00,5,121,0.9388102091486756,126,0.872547858699374,-0.06626235044930162
eu,C1,31TFJ_1359_00,5,226,0.6773951929112099,212,0.6590589172421333,-0.018336275669076585
eu,C1,31TGH_0053_00,5,135,0.8512996997653168,106,0.8720016248552636,0.020701925089946727
eu,C1,31TGH_0153_00,3,53,2.7044211506700373,59,2.9255727976052355,0.22115164693519818
eu,C1,31TGJ_0274_00,5,103,1.2866338671166753,101,1.2086590138494537,-0.07797485326722153
eu,C1,31TGJ_0550_00,2,51,3.305225855847272,52,2.8366421181268393,-0.4685837377204325
eu,C1,31TGJ_0811_00,4,56,1.6705433172220445,54,2.2068601428243806,0.5363168256023361
eu,C1,31TGJ_0814_00,1,63,3.6001483790488886,61,3.6892927940464517,0.08914441499756309
eu,C1,31TGJ_0831_00,3,51,2.222045810940164,65,2.523532831888083,0.30148702094791924
eu,C1,31TGJ_1054_00,3,69,2.614134943450395,52,2.0692752368520844,-0.5448597065983107
eu,C1,31TGJ_1156_00,5,85,0.7084259770844433,78,0.7195207041335983,0.011094727049154929
eu,C1,31TGJ_1189_00,5,90,1.271275958652114,93,1.4486889135046386,0.1774129548525245
eu,C1,31TGK_0015_00,3,41,2.4145060820631636,51,2.705317599120988,0.29081151705782426
eu,C1,31TGK_1163_00,2,47,2.92031982406501,59,2.639397154443526,-0.28092266962148393
eu,C1,31UCQ_0211_00,5,111,1.1134822743654613,109,1.1700707956588934,0.05658852129343206
eu,C1,31UCQ_0249_00,3,35,1.4850692477072038,40,1.9660606034613113,0.48099135575410745
eu,C1,31UCQ_1476_00,2,48,3.512478891804276,40,2.8475334962588272,-0.6649453955454487
eu,C1,31UDP_0247_00,1,27,2.7034058768149056,39,3.357501017956398,0.6540951411414926
